K1L1  		0.809 	 0.111 
K1L3  		0.863 	 0.016 
K1L5  		0.874 	 0.007 
K2L1  		0.819 	 0.032 
K2L2  		0.801 	 0.014 
K2L4  		0.713 	 0.069 
K2L4  		0.822 	 0.103 
K2L4  		0.635 	 0.012 
K2L4  		0.684 	 0.093 
K2L4  		0.843 	 0.043 
K2L4  		0.831 	 0.094 
K2L4  		0.797 	 0.010 
K2L4  		0.796 	 0.080 
K2L4  		0.755 	 0.057 
K2L4  		0.592 	 0.075 
